iter	Passed	Remaining
0	0	93
1	1	75
2	2	75
3	2	64
4	3	66
5	4	68
6	5	69
7	5	67
8	6	66
9	7	66
10	8	65
11	8	63
12	9	63
13	10	63
14	10	62
15	11	62
16	12	60
17	13	59
18	13	58
19	14	58
20	15	57
21	15	56
22	16	55
23	17	55
24	18	54
25	19	54
26	19	53
27	20	53
28	21	52
29	21	51
30	22	50
31	23	49
32	24	49
33	25	49
34	25	48
35	26	47
36	27	46
37	28	45
38	29	45
39	29	44
40	30	43
41	30	42
42	31	41
43	31	40
44	32	39
45	33	39
46	33	38
47	34	37
48	35	36
49	36	36
50	36	35
51	37	34
52	38	33
53	38	32
54	39	32
55	40	31
56	40	30
57	41	29
58	42	29
59	42	28
60	43	27
61	44	27
62	44	26
63	45	25
64	46	24
65	47	24
66	47	23
67	48	22
68	49	22
69	49	21
70	50	20
71	51	19
72	51	19
73	52	18
74	53	17
75	53	17
76	54	16
77	55	15
78	56	14
79	56	14
80	57	13
81	58	12
82	58	12
83	59	11
84	60	10
85	60	9
86	61	9
87	62	8
88	63	7
89	63	7
90	64	6
91	64	5
92	65	4
93	66	4
94	67	3
95	67	2
96	68	2
97	69	1
98	70	0
99	71	0
