iter	Passed	Remaining
0	136	136683
1	137	68665
2	138	46051
3	139	34659
4	139	27797
5	140	23269
6	141	20036
7	141	17602
8	142	15726
9	143	14197
10	144	12973
11	145	11964
12	145	11079
13	146	10316
14	147	9655
15	147	9076
16	148	8567
17	148	8116
18	149	7712
19	149	7347
20	150	7014
21	151	6715
22	151	6440
23	152	6190
24	152	5956
25	153	5742
26	153	5545
27	154	5359
28	154	5186
29	155	5031
30	156	4881
31	156	4738
32	157	4606
33	157	4482
34	158	4364
35	158	4253
36	159	4147
37	159	4046
38	160	3950
39	160	3859
40	161	3774
41	161	3691
42	162	3613
43	162	3538
44	163	3469
45	164	3404
46	164	3339
47	165	3278
48	165	3218
49	166	3162
50	166	3105
51	167	3052
52	167	3000
53	168	2949
54	168	2900
55	169	2853
56	169	2808
57	170	2764
58	170	2722
59	171	2681
60	171	2642
61	172	2604
62	172	2567
63	173	2531
64	173	2496
65	174	2462
66	174	2431
67	175	2400
68	175	2369
69	176	2338
70	176	2309
71	176	2280
72	177	2253
73	177	2226
74	178	2201
75	179	2177
76	179	2153
77	180	2129
78	180	2106
79	181	2083
80	181	2061
81	182	2040
82	182	2017
83	183	1996
84	183	1975
85	183	1955
86	184	1935
87	184	1916
88	185	1897
89	186	1881
90	186	1863
91	186	1845
92	187	1827
93	187	1810
94	188	1794
95	188	1779
96	189	1764
97	190	1749
98	190	1734
99	190	1718
100	191	1704
101	192	1690
102	192	1676
103	193	1663
104	193	1650
105	194	1638
106	194	1625
107	195	1612
108	195	1600
109	196	1588
110	196	1576
111	197	1564
112	197	1553
113	198	1541
114	198	1530
115	199	1518
116	199	1506
117	200	1496
118	200	1485
119	201	1474
120	201	1465
121	202	1454
122	202	1444
123	203	1434
124	203	1424
125	203	1414
126	204	1404
127	204	1395
128	205	1387
129	205	1378
130	206	1369
131	206	1360
132	207	1351
133	207	1342
134	208	1333
135	208	1326
136	209	1318
137	209	1310
138	210	1302
139	210	1295
140	211	1287
141	211	1278
142	212	1271
143	212	1264
144	213	1257
145	213	1250
146	214	1242
147	214	1235
148	215	1228
149	215	1222
150	216	1215
151	216	1208
152	217	1201
153	217	1195
154	218	1188
155	218	1182
156	218	1175
157	219	1169
158	220	1165
159	221	1160
160	221	1153
161	221	1147
162	222	1141
163	222	1135
164	223	1129
165	223	1124
166	224	1119
167	224	1113
168	225	1108
169	225	1103
170	226	1098
171	227	1093
172	227	1088
173	228	1083
174	228	1078
175	229	1073
176	229	1068
177	230	1062
178	230	1057
179	231	1052
180	231	1048
181	232	1043
182	232	1039
183	233	1034
184	233	1028
185	234	1024
186	234	1019
187	234	1014
188	235	1010
189	235	1005
190	236	1001
191	236	996
192	237	992
193	237	987
194	238	983
195	238	979
196	239	975
197	239	971
198	240	967
199	240	963
200	241	959
201	241	955
202	242	951
203	242	947
204	243	943
205	243	939
206	244	935
207	244	932
208	245	927
209	245	923
210	246	920
211	246	916
212	246	912
213	247	908
214	247	905
215	248	901
216	248	897
217	249	894
218	249	890
219	250	886
220	250	883
221	251	880
222	251	876
223	252	873
224	252	870
225	253	866
226	253	863
227	253	859
228	254	856
229	254	853
230	255	850
231	255	847
232	256	844
233	256	841
234	257	838
235	257	835
236	258	831
237	258	828
238	259	825
239	259	822
240	260	819
241	260	817
242	261	814
243	262	811
244	262	809
245	263	806
246	263	803
247	264	800
248	264	797
249	264	794
250	265	792
251	266	789
252	266	787
253	267	785
254	267	782
255	268	779
256	268	777
257	269	774
258	269	772
259	270	770
260	271	767
261	271	765
262	272	762
263	272	759
264	273	757
265	273	755
266	274	752
267	274	750
268	275	747
269	275	744
270	275	742
271	276	739
272	276	737
273	277	734
274	277	732
275	278	729
276	278	727
277	279	724
278	279	722
279	280	720
280	280	717
281	280	715
282	281	713
283	281	710
284	282	708
285	282	706
286	283	703
287	283	701
288	284	699
289	284	696
290	285	694
291	285	692
292	286	690
293	286	688
294	287	686
295	287	684
296	288	682
297	288	680
298	289	678
299	289	675
300	290	673
301	290	671
302	291	669
303	291	667
304	291	665
305	292	663
306	293	661
307	293	659
308	293	657
309	294	655
310	294	653
311	295	651
312	295	649
313	296	647
314	296	645
315	297	643
316	297	641
317	298	639
318	298	637
319	299	635
320	299	633
321	299	631
322	300	629
323	300	627
324	301	626
325	301	624
326	302	622
327	302	620
328	303	618
329	303	616
330	304	614
331	304	613
332	305	611
333	305	609
334	306	607
335	306	605
336	307	604
337	307	602
338	307	600
339	308	598
340	308	596
341	309	594
342	309	593
343	310	591
344	310	589
345	311	587
346	311	586
347	312	584
348	312	582
349	312	581
350	313	579
351	313	577
352	314	576
353	314	574
354	315	572
355	315	570
356	316	569
357	316	567
358	317	566
359	317	564
360	318	563
361	318	561
362	319	559
363	319	558
364	320	557
365	320	555
366	321	554
367	321	552
368	322	551
369	322	549
370	323	548
371	324	547
372	324	545
373	325	544
374	325	542
375	326	541
376	326	539
377	327	538
378	327	536
379	328	535
380	328	533
381	329	532
382	329	530
383	329	529
384	330	527
385	330	526
386	331	525
387	331	523
388	332	522
389	332	520
390	333	519
391	334	518
392	334	516
393	335	515
394	335	514
395	336	512
396	336	511
397	337	509
398	337	508
399	337	506
400	338	505
401	339	504
402	339	502
403	339	501
404	340	500
405	340	498
406	341	497
407	341	495
408	342	494
409	342	493
410	343	491
411	343	490
412	344	489
413	344	487
414	345	486
415	345	485
416	345	483
417	346	482
418	346	481
419	347	479
420	347	478
421	348	477
422	349	476
423	349	475
424	350	473
425	350	472
426	351	471
427	351	470
428	352	468
429	352	467
430	353	466
431	353	465
432	354	463
433	354	462
434	355	461
